alias,canonical
SWIGGY,Swiggy
SWIGG,Swiggy
BLINKIT,Blinkit
MILKBASKET,Milkbasket
MILKBASET,Milkbasket
AMAZON PAY,Amazon Pay
AMAZON,Amazon
MAKEMYTRIP,MakeMyTrip
MAKE MY TRIP,MakeMyTrip
INDIGO,Indigo
GITHUB,GitHub
URBANCLAP,UrbanClap
URBAN CLAP,UrbanClap
BOOKMYSHOW,BookMyShow
CLEARTRIP,ClearTrip
THE LUGGAGE BOUTIQUE,The Luggage Boutique
DAIWI,Daiwik Hotels
DAIWIK,Daiwik Hotels
MC DONAL,McDonald's
MCDONALD,McDonald's
DOMINOS,Dominos
ZOMATO,Zomato
TANDOORI Taal,Tandoori Taal
POLICYBAZAAR,PolicyBazaar
THE ARUN ACHALA CAFE,The Arun Achala Cafe
URBANCLA P TECHNOLOGIE,UrbanClap
MILKBASK ET,Milkbasket
BBPS PAYMENT RECEIVED,BBPS
DUNKIN,Dunkin
HOTEL RA MESWARAM GRAN,Hotel Rameswaram Grand
CLEARTRI P PRIVATE LIM,ClearTrip
ADISHWAR SUPER MARKET,Adishwar Super Market
TATA 1MG HEALTHCARE,Tata 1mg
THEOBROM A FOODS PVT L,Theobroma Foods
HUNGERBO X,Hungerbox
ROLLA HY PER MARKET,Rolla Hyper Market
IGST-CI@18%,IGST
